investor_uuid,permalink,name,entity_def_id,investor_type,investment_count,website
b0db7b96-fe02-409f-ac5b-c4829598722f,america-s-frontier-fund,America’s Frontier Fund,organization,venture_capital,,https://www.americasfrontier.org
c9da6c42-3a06-aa3c-a37d-8804c70cacf1,national-kidney-foundation,National Kidney Foundation,organization,government_office,,https://www.kidney.org/
e22305b1-342f-4d64-ab44-da1404b5c154,leva-capital,Leva Capital,organization,"private_equity_firm,venture_capital",,https://www.levacapital.ca/
316d6c31-281f-46c8-8e17-45b8a9d26e14,plug-play-topeka,Plug & Play Topeka,organization,venture_capital,,https://www.plugandplaytechcenter.com/
8e676a7d-b2fc-4eaa-98b5-a07050f23899,thicket-ventures,Thicket Ventures,organization,venture_capital,,https://www.thicketventures.com/
0a1b3462-223b-4aa8-9fbe-f37a1f1a5f9a,the-foundervc,The FounderVC,organization,venture_capital,,https://foundervc.org
61528fd8-84e8-4e93-bac1-61a1e9375bf8,atrahasis-capital,Atrahasis Capital,organization,"micro_vc,private_equity_firm",,https://atrahasis.capital
4a6f87af-c888-4a71-bbb3-3778b3de4cbd,arian-sharifian,Arian Sharifian,person,angel_investor,,
1b74b9d0-05e7-4958-8d23-574f200524c1,common-magic,Common Magic,organization,venture_capital,,https://www.commonmagic.xyz
af86db33-0cd6-3bf8-e296-c77fe69679ab,erik-bernhardsson,Erik Bernhardsson,person,angel_investor,,
1c9d544e-a50f-4f44-866a-0e3196a8cdf2,jean-louis-quéguiner,Jean-Louis Quéguiner,person,angel_investor,,
d3b61a06-704c-094c-cf08-117b34b59f65,roxanne-varza,Roxanne Varza,person,angel_investor,,
1877b311-fc51-4653-9f1c-e3e8f2ed4916,sofiane-bouhali,Sofiane Bouhali,person,angel_investor,,
7debd62b-222b-4aec-9c71-0ddf099c7c38,sophie-riottot,Sophie Riottot,person,angel_investor,,
6e53bd21-d50a-4e2f-a378-54a210c161e9,daniel-stefanic,Daniel Stefanic,person,angel_investor,,
a90d67db-d339-405d-b55d-4832cdf2183b,sadu-capital,Sadu Capital,organization,venture_capital,,http://www.sadu.vc
37af8632-f260-47b9-894a-f73bc8fab00d,unifonicx,X By Unifonic,organization,"angel_group,corporate_venture_capital,syndicate,venture_capital",,https://www.unifonicx.com/
aac01e65-036c-2206-60be-766f922c4007,dafeng-guo,Dafeng Guo,person,angel_investor,,
aec9a02a-5cd6-4c79-af5e-1688520d6322,koen-köppen,Koen Koeppen,person,angel_investor,,
952cd6d5-8149-4e38-a70d-556f5f5ff35f,spacetime-f35f,Spacetime,organization,venture_capital,,https://www.spacetime.nl/
4cda89b1-dc4a-4660-9a34-9d0ed42c1304,steel-atlas,Steel Atlas,organization,venture_capital,,https://steelatlas.vc
47a85b56-bb08-4d63-b6b6-79aa7b7711ad,asc-vc,ASC VC,organization,venture_capital,,https://ascvc.com/
32e02d2b-c989-4155-8810-e206dcc58b4c,yk-bioventures,YK Bioventures,organization,venture_capital,,
cafeb11a-1723-4803-2feb-92e3d1345f77,nxc,NXC,organization,,,http://www.nxc.com
1491fc72-06e5-4a7a-8104-2e6276a152b0,giantleap-capital,GiantLeap Capital,organization,venture_capital,,https://www.giantleapcapital.com/about-us
e3e67bf2-3ee0-32bc-3710-4c4e62b37346,london-stock-exchange-group,London Stock Exchange Group,organization,venture_capital,,https://www.lseg.com/
